"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"   92P/Sanguin",5.358,0.6593,19.44,181.46,163.79,1.825,8.89,12.4,13943,0,919,,,,2.38,,,,,,,,,
"   93P/Lovas 1",4.39,0.6124,12.22,339.92,74.61,1.702,7.08,9.2,16466,0,3521,,,,,,,18.2,,,,,,
"   94P/Russell 4",3.511,0.3641,6.18,70.90,92.68,2.233,4.79,6.58,27492,0,2188,,,,,,,20.7,,,,,,
"   96P/Machholz 1",3.035,0.9592,58.14,94.25,14.79,0.124,5.95,5.29,4468,0,669,,,,6.4,,,,,,,,,
"   97P/Metcalf-Brewington",4.8,0.4569,17.86,185.17,228.22,2.607,6.99,10.5,7819,1,391,,,,3.4,,,,,,,,,
"   98P/Takamizawa",3.806,0.5606,10.55,114.75,157.95,1.672,5.94,7.42,5528,0,558,,,,5.4,,,,,,,,,
"   99P/Kowal 1",6.135,0.2297,4.34,28.18,174.19,4.726,7.54,15.2,17259,0,1698,,,,10.2,,,,,,,,,
"  100P/Hartley 1",3.428,0.4138,25.58,37.76,181.87,2.010,4.85,6.35,13577,0,644,,,,,,,,,,,,,
"  101P/Chernykh",5.782,0.5977,5.03,116.59,277.43,2.326,9.24,13.9,6078,0,1211,,,,5.6,,,,,,,,,
"  102P/Shoemaker 1",3.737,0.4732,26.24,339.87,18.74,1.969,5.50,7.22,5645,1,392,,,,3.2,,,,,,,,,
"  103P/Hartley 2",3.476,0.6936,13.60,219.74,181.32,1.065,5.89,6.48,6202,0,8768,,,,1.6,,,18.1,,,,,,
"  104P/Kowal 2",3.208,0.6655,5.70,207.21,227.25,1.073,5.34,5.74,2351,2,1551,,,,2.0,,,,,,,,,
"  105P/Singer Brewster",3.469,0.4091,9.17,192.41,46.61,2.050,4.89,6.46,14389,0,898,,,,2.2,,,,,,,,,
"  106P/Schuster",3.754,0.5895,20.20,50.33,355.98,1.541,5.97,7.27,16272,0,745,,,,1.88,,,,,,,,,
"  108P/Ciffreo",3.642,0.5810,13.98,52.40,356.86,1.526,5.76,6.95,2839,0,2301,,,,3.2,,,,,,,,,
"  109P/Swift-Tuttle",26.09,0.9632,113.45,139.38,152.98,0.960,51.22,133,94131,0,652,,,,26,,,,,,,,,
"  110P/Hartley 3",3.604,0.3163,11.70,287.53,167.40,2.464,4.74,6.84,3562,0,2416,,,,4.3,,,10.153,,,,,,
"  111P/Helin-Roman-Crockett",4.16,0.1096,4.23,89.79,3.38,3.704,4.62,8.49,8753,1,137,,,,1.2,,,,,,,,,
"  112P/Urata-Niijima",3.536,0.5875,24.20,31.93,21.35,1.459,5.61,6.65,12257,0,617,,,,1.8,,,,,,,,,
"  113P/Spitaler",3.682,0.4245,5.78,14.39,50.03,2.119,5.24,7.07,48361,0,879,,,,2.2,,,,,,,,,
"  114P/Wiseman-Skiff",3.545,0.5545,18.27,271.06,172.84,1.579,5.51,6.67,5046,0,1860,,,,1.56,,,,,,,,,
"  115P/Maury",4.271,0.5183,11.67,176.08,121.11,2.057,6.48,8.83,12929,0,1382,,,,2.22,,,,,,,,,
"  116P/Wild 4",3.484,0.3723,3.61,20.99,173.31,2.187,4.78,6.5,5832,0,4667,,,,,,,,,,,,,
"  117P/Helin-Roman-Alu 1",4.096,0.2538,8.70,58.90,222.69,3.056,5.14,8.29,8063,0,6498,,,,9,,,,,,,,,
"  118P/Shoemaker-Levy 4",3.361,0.4551,10.09,142.11,314.44,1.831,4.89,6.16,3212,1,1771,,,,4.8,,,,,,,,,
"  119P/Parker-Hartley",4.295,0.2959,5.18,243.68,181.86,3.024,5.57,8.9,13734,0,3237,,,,,,,,,,,,,
"  120P/Mueller 1",4.136,0.3365,8.79,4.44,30.01,2.744,5.53,8.41,12471,0,147,,,,3.0,,,,,,,,,
"  121P/Shoemaker-Holt 2",4.51,0.2065,20.82,96.01,18.11,3.578,5.44,9.58,13225,0,769,,,,3.24,,,,,,,,,
"  122P/de Vico",17.68,0.9627,85.38,79.62,13.00,0.659,34.70,74.3,54902,0,294,,,,,,,,,,,,,
"  123P/West-Hartley",3.86,0.4492,15.36,46.51,102.96,2.126,5.59,7.58,5600,0,3382,,,,,,,3.7,,,,,,
"  124P/Mrkos",3.317,0.5039,31.53,0.41,183.72,1.645,4.99,6.04,12718,0,2990,,,,,,,,,,,,,
"  125P/Spacewatch",3.126,0.5127,9.99,153.20,87.15,1.523,4.73,5.53,12097,0,1297,,,,1.6,,,,,,,,,
"  126P/IRAS",5.64,0.6963,45.87,357.86,356.52,1.713,9.57,13.4,10052,0,1717,,,,3.2,,,,,,,,,
"  127P/Holt-Olmstead",3.451,0.3607,14.30,13.65,6.71,2.206,4.70,6.41,5004,0,909,,,,,,,,,,,,,
"  128P/Shoemaker-Holt 1",4.504,0.3215,4.36,214.30,210.58,3.056,5.95,9.56,7065,0,834,,,,,,,,,,,,,
"  129P/Shoemaker-Levy 3",4.304,0.0906,3.43,185.16,309.13,3.914,4.69,8.93,8240,1,720,,,,,,,,,,,,,
"  130P/McNaught-Hughes",3.382,0.4608,6.07,70.26,245.91,1.824,4.94,6.22,12517,0,2366,,,,4.2,,,,,,,,,
"  131P/Mueller 2",3.679,0.3432,7.35,214.20,179.28,2.416,4.94,7.06,12899,0,906,,,,,,,,,,,,,
"  132P/Helin-Roman-Alu 2",3.886,0.5647,5.38,174.00,216.35,1.692,6.08,7.66,2772,0,1323,,,,,,,,,,,,,
"  134P/Kowal-Vavrova",6.229,0.5872,4.35,202.12,18.56,2.572,9.89,15.5,11811,0,1061,,,,,,,,,,,,,
"  135P/Shoemaker-Levy 8",3.828,0.2902,6.05,213.36,22.70,2.717,4.94,7.49,10987,1,115,,,,3.8,,,,,,,,,
"  136P/Mueller 3",4.202,0.2911,9.42,137.45,225.12,2.979,5.43,8.61,6753,1,706,,,,,,,,,,,,,
"  137P/Shoemaker-Levy 2",4.518,0.5721,4.85,233.07,140.99,1.933,7.10,9.6,11171,0,1224,,,,5.8,,,7.7,,,,,,
"  138P/Shoemaker-Levy 7",3.625,0.5294,10.08,309.44,95.56,1.706,5.54,6.9,12360,0,126,,,,,,,,,,,,,
"  139P/Vaisala-Oterma",4.522,0.2475,2.33,242.38,165.73,3.403,5.64,9.62,28975,0,546,,,,,,,,,,,,,
"  140P/Bowell-Skiff",6.397,0.6918,3.84,343.46,173.09,1.972,10.82,16.2,,,,,,,,,,,,,,,,
"  141P/Machholz 2",3.055,0.7367,13.98,241.88,153.62,0.804,5.31,5.34,2131,0,852,,,,,,,,,,,,,
"  142P/Ge-Wang",4.966,0.4991,12.31,176.52,175.63,2.487,7.45,11.1,8092,1,94,,,,,,,,,,,,,
"  143P/Kowal-Mrkos",4.296,0.4095,4.69,245.31,320.79,2.537,6.06,8.9,15239,0,1309,,,,,,,,,,,,,
"  144P/Kushida",3.829,0.6351,3.93,242.98,216.35,1.397,6.26,7.49,2865,0,3111,,,,,,,,,,,,,
"  145P/Shoemaker-Levy 5",4.143,0.5406,11.26,26.80,10.32,1.903,6.38,8.43,12537,0,1324,,,,,,,,,,,,,
"  146P/Shoemaker-LINEAR",4.031,0.6473,23.11,53.38,316.99,1.422,6.64,8.09,8982,0,660,,,,,,,,,,,,,
"  147P/Kushida-Muramatsu",3.802,0.2756,2.37,93.77,347.03,2.755,4.85,7.41,5961,3,57,,,,0.42,,,,,,,,,
"  148P/Anderson-LINEAR",3.678,0.5393,3.68,89.79,6.60,1.694,5.66,7.05,21697,0,250,,,,,,,,,,,,,
"  149P/Mueller 4",4.326,0.3883,29.75,145.26,43.57,2.646,6.01,9,9974,1,494,,,,,,,11.88,,,,,,
"  150P/LONEOS",3.881,0.5465,18.51,272.41,245.62,1.760,6.00,7.64,16925,0,1320,,,,,,,,,,,,,
"  151P/Helin",5.807,0.5709,4.73,143.55,215.53,2.492,9.12,14,10382,1,420,,,,8.4,,,,,,,,,
"  152P/Helin-Lawrence",4.493,0.3072,9.87,91.90,163.59,3.113,5.87,9.52,11581,0,1298,,,,,,,,,,,,,
"  153P/Ikeya-Zhang",51.12,0.9901,28.12,93.37,34.67,0.507,101.73,365,403,2,1893,,,,,,,,,,,,,
"  154P/Brewington",4.882,0.6720,17.89,343.43,48.91,1.601,8.16,10.8,4261,0,2636,,,,,,,,,,,,,
"  155P/Shoemaker 3",6.594,0.7261,6.40,97.28,14.60,1.806,11.38,16.9,12550,0,1966,,,,,,,,,,,,,
"  156P/Russell-LINEAR",3.462,0.6149,17.26,35.40,0.38,1.333,5.59,6.44,7882,0,2317,,,,,,,,,,,,,
"  157P/Tritton",3.368,0.6275,11.18,289.43,157.44,1.255,5.48,6.18,2804,1,434,,,,,,,,,,,,,
"  158P/Kowal-LINEAR",4.721,0.0306,7.91,137.31,232.61,4.576,4.87,10.3,16622,0,1093,,,,,,,,,,,,,
"  159P/LONEOS",5.86,0.3821,23.46,55.06,4.87,3.621,8.10,14.2,11417,0,880,,,,,,,,,,,,,
"  160P/LINEAR",3.967,0.4791,17.28,337.00,18.20,2.067,5.87,7.9,8812,0,973,,,,,,,,,,,,,
"  161P/Hartley-IRAS",7.73,0.8351,95.70,1.40,47.09,1.275,14.19,21.5,7994,0,335,,,,,,,,,,,,,
"  162P/Siding Spring",3.053,0.5961,27.82,31.24,356.33,1.233,4.87,5.34,12903,0,3224,,,,,,,32.853,,,,,,
"  163P/NEAT",3.68,0.4760,12.50,103.35,348.05,1.928,5.43,7.06,10737,0,355,,,,,,,,,,,,,
"  164P/Christensen",3.659,0.5397,16.26,88.31,325.98,1.684,5.63,7,5576,0,1438,,,,,,,,,,,,,
"  165P/LINEAR",18.05,0.6216,15.91,0.64,126.21,6.830,29.27,76.7,1209,4,143,,,,,,,,,,,,,
"  166P/NEAT",13.88,0.3831,15.37,64.49,321.88,8.564,19.20,51.7,2742,3,168,,,,,,,,,,,,,
"  167P/CINEOS",16.14,0.2700,19.13,295.84,343.65,11.783,20.50,64.9,3416,3,96,,,,66.170,,0.053,,,,,,,
"  168P/Hergenrother",3.624,0.6095,21.93,356.48,13.92,1.415,5.83,6.9,5193,0,3377,,,,,,,,,,,,,
"  169P/NEAT",2.606,0.7668,11.30,176.19,217.96,0.608,4.60,4.21,13205,0,1332,,,,,,,8.369,,,,,,
"  170P/Christensen",4.201,0.3042,10.12,142.92,225.53,2.923,5.48,8.61,3878,1,987,,,,,,,,,,,,,
"  171P/Spahr",3.558,0.5020,21.93,101.70,347.17,1.772,5.34,6.71,7437,0,654,,,,,,,,,,,,,
"  172P/Yeung",4.174,0.2243,11.34,33.68,208.78,3.238,5.11,8.53,11550,0,794,,,,,,,,,,,,,
"  173P/Mueller 5",5.691,0.2614,16.51,100.50,29.39,4.204,7.18,13.6,11225,0,1194,,,,,,,,,,,,,
"  175P/Hergenrother",3.481,0.4249,6.08,126.08,51.65,2.002,4.96,6.5,9503,0,855,,,,,,,,,,,,,
"  177P/Barnard",24.3,0.9544,31.22,272.07,60.45,1.107,47.50,120,42903,0,1702,,,,,,,,,,,,,
"  178P/Hug-Bell",3.669,0.4730,10.98,103.57,296.95,1.934,5.41,7.03,7829,0,1037,,,,,,,,,,,,,
"  179P/Jedicke",5.937,0.3071,19.86,115.62,296.30,4.114,7.76,14.5,10626,0,557,,,,,,,,,,,,,
"  180P/NEAT",3.858,0.3549,16.87,84.57,94.86,2.489,5.23,7.58,6092,1,1053,,,,,,,,,,,,,
"  181P/Shoemaker-Levy 6",3.839,0.7073,16.98,37.68,333.80,1.124,6.55,7.52,8252,2,88,,,,,,,,,,,,,
"  182P/LONEOS",2.931,0.6663,16.91,75.10,51.44,0.978,4.88,5.02,5482,0,200,,,,,,,,,,,,,
"  183P/Korlevic-Juric",4.494,0.1350,18.74,5.84,160.86,3.887,5.10,9.53,26235,0,737,,,,,,,,,,,,,
"  184P/Lovas 2",3.522,0.6043,1.55,277.74,78.06,1.394,5.65,6.61,12394,0,349,,,,6.2,,,,,,,,,
"  185P/Petriew",3.1,0.6988,14.00,214.10,181.94,0.934,5.27,5.46,4272,0,715,,,,,,,,,,,,,
"  186P/Garradd",4.95,0.1268,28.54,327.58,287.34,4.322,5.58,11,17324,0,880,,,,,,,,,,,,,
"  187P/LINEAR",4.494,0.1732,13.66,111.74,134.74,3.715,5.27,9.53,7798,0,296,,,,,,,,,,,,,
"  188P/LINEAR-Mueller",4.378,0.4164,10.54,359.12,26.67,2.555,6.20,9.16,6794,0,1254,,,,,,,,,,,,,
"  189P/NEAT",2.918,0.5976,20.40,282.20,15.31,1.174,4.66,4.98,7330,0,1469,,,,,,,,,,,,,
"  190P/Mueller",4.242,0.5207,2.17,335.55,50.42,2.033,6.45,8.74,9665,1,693,,,,,,,,,,,,,
"  191P/McNaught",3.533,0.4207,8.76,106.50,274.21,2.046,5.02,6.64,7832,0,787,,,,,,,,,,,,,
"  192P/Shoemaker-Levy 1",6.476,0.7720,24.54,51.59,313.08,1.476,11.48,16.5,12468,0,200,,,,,,,,,,,,,
"  193P/LINEAR-NEAT",3.575,0.3942,10.69,335.19,8.44,2.166,4.98,6.76,7483,1,944,,,,,,,,,,,,,
"  194P/LINEAR",4.006,0.5743,11.12,352.05,130.54,1.705,6.31,8.02,6011,0,152,,,,,,,,,,,,,
"  195P/Hill",6.492,0.3139,36.34,243.08,249.66,4.454,8.53,16.5,12007,0,1041,,,,,,,,,,,,,
"  196P/Tichy",3.775,0.4344,19.38,24.26,11.95,2.135,5.41,7.33,8126,0,459,,,,,,,,,,,,,
"  197P/LINEAR",2.867,0.6299,25.56,66.40,188.75,1.061,4.67,4.86,7452,0,325,,,,,,,,,,,,,
"  198P/ODAS",3.583,0.4477,1.35,358.74,69.06,1.979,5.19,6.78,7315,2,200,,,,,,,,,,,,,
"  199P/Shoemaker 4",5.948,0.5075,24.76,92.62,191.83,2.929,8.97,14.5,10776,2,863,,,,,,,,,,,,,
"  200P/Larsen",4.908,0.3332,12.12,234.82,133.69,3.272,6.54,10.9,8082,0,610,,,,,,,,,,,,,
"  201P/LONEOS",3.461,0.6129,7.04,35.29,24.95,1.340,5.58,6.44,4998,0,865,,,,,,,,,,,,,
"  202P/Scotti",3.774,0.3304,2.19,194.59,255.59,2.527,5.02,7.33,34795,0,449,,,,,,,,,,,,,
"  203P/Korlevic",4.654,0.3160,2.97,290.52,154.73,3.183,6.12,10,7856,0,1174,,,,,,,,,,,,,
"  204P/LINEAR-NEAT",3.656,0.4722,6.59,109.07,355.05,1.930,5.38,6.99,5361,0,1273,,,,,,,,,,,,,
"  205P/Giacobini",3.547,0.5669,15.29,179.62,154.26,1.536,5.56,6.68,4813,0,564,,,,,,,,,,,,,
"  206P/Barnard-Boattini",3.234,0.6485,33.20,204.38,181.36,1.136,5.33,5.81,42448,2,284,,,,,,,,,,,,,
"  207P/NEAT",3.872,0.7591,10.19,198.34,273.00,0.933,6.81,7.62,8420,0,945,,,,,,,,,,,,,
"  208P/McMillan",4.05,0.3720,4.41,36.43,310.60,2.543,5.56,8.15,8898,0,402,,,,,,,,,,,,,
"  209P/LINEAR",2.95,0.6814,21.34,62.87,152.63,0.940,4.96,5.07,7592,0,2879,9,4,,,,,,,,,,,
"  210P/Christensen",3.162,0.8340,10.28,93.80,345.93,0.525,5.80,5.62,2025,1,59,,,,,,,,,,,,,
"  211P/Hill",3.559,0.3392,18.89,117.27,4.34,2.352,4.77,6.72,7334,0,854,,,,,,,,,,,,,
"  212P/NEAT",3.924,0.5790,22.41,98.91,14.98,1.652,6.20,7.77,8529,0,154,,,,1.7,,0.096,,,,,,,
"  213P/Van Ness",3.348,0.4076,10.38,311.32,5.56,1.983,4.71,6.13,2809,3,367,,,,,,,,,,,,,
"  214P/LINEAR",3.604,0.4896,15.23,348.31,190.16,1.840,5.37,6.84,2665,1,131,,,,,,,,,,,,,
"  215P/NEAT",4.332,0.1993,10.04,62.72,254.12,3.469,5.20,9.02,11160,0,1011,,,,,,,,,,,,,
"  216P/LINEAR",3.875,0.4455,9.05,359.87,151.51,2.149,5.60,7.63,8526,0,403,,,,,,,,,,,,,
"  217P/LINEAR",3.949,0.6891,12.87,125.57,246.90,1.227,6.67,7.85,6144,0,3182,,,,,,,,,,,,,
"  218P/LINEAR",3.096,0.6217,2.73,176.03,59.67,1.171,5.02,5.45,4039,1,481,,,,,,,,,,,,,
"  219P/LINEAR",3.65,0.3520,11.53,231.03,107.48,2.365,4.94,6.97,8268,0,1145,,,,,,,,,,,,,
"  220P/McNaught",3.113,0.5022,8.13,150.12,180.75,1.550,4.68,5.49,6042,0,484,,,,,,,,,,,,,
"  221P/LINEAR",3.473,0.4876,11.43,229.99,39.51,1.780,5.17,6.47,7497,0,627,,,,,,,,,,,,,
"  222P/LINEAR",2.857,0.7268,5.15,7.13,345.43,0.781,4.93,4.83,5283,0,239,,,,,,,,,,,,,
"  223P/Skiff",4.148,0.4164,27.05,346.82,37.86,2.420,5.87,8.45,7175,0,776,,,,,,,,,,,,,
"  224P/LINEAR-NEAT",3.37,0.4373,14.87,43.27,10.94,1.896,4.84,6.19,6992,2,107,,,,,,,,,,,,,
"  225P/LINEAR",3.651,0.6374,21.34,14.18,3.88,1.324,5.98,6.98,7808,0,519,,,,,,,,,,,,,
"  226P/Pigott-LINEAR-Kowalski",3.769,0.5282,44.00,54.01,341.10,1.778,5.76,7.32,5328,0,1679,,,,,,,,,,,,,
"  227P/Catalina-LINEAR",3.559,0.5104,6.51,48.59,90.86,1.742,5.38,6.71,10051,0,1235,,,,,,,,,,,,,
"  228P/LINEAR",4.168,0.1770,7.92,31.07,114.81,3.430,4.91,8.51,8717,0,436,,,,,,,,,,,,,
"  229P/Gibbs",3.934,0.3761,26.07,157.91,224.22,2.455,5.41,7.8,8503,1,293,,,,,,,,,,,,,
"  230P/LINEAR",3.4,0.5631,14.65,112.40,308.91,1.485,5.31,6.27,10367,0,1528,,,,,,,,,,,,,
"  231P/LINEAR-NEAT",4.026,0.2468,12.33,133.08,42.43,3.032,5.02,8.08,25635,0,573,,,,,,,,,,,,,
"  232P/Hill",4.485,0.3349,14.64,56.13,53.42,2.983,5.99,9.5,7058,0,297,,,,,,,,,,,,,
"  233P/La Sagra",3.031,0.4111,11.28,74.93,27.17,1.785,4.28,5.28,7638,0,164,,,,,,,,,,,,,
"  234P/LINEAR",3.815,0.2508,11.52,179.72,358.13,2.858,4.77,7.45,8586,0,377,,,,,,,,,,,,,
"  235P/LINEAR",3.993,0.3151,8.90,204.45,333.65,2.735,5.25,7.98,8783,0,399,,,,,,,,,,,,,
"  236P/LINEAR",3.728,0.5086,16.33,245.66,119.34,1.832,5.62,7.2,7609,0,855,,,,,,,,,,,,,
"  237P/LINEAR",3.512,0.4344,14.01,245.38,25.24,1.987,5.04,6.58,5278,0,2268,,,,,,,,,,,,,
"  238P/Read",3.166,0.2517,1.26,51.63,324.21,2.369,3.96,5.63,6241,1,119,,,,,,,,,,,,,
"  239P/LINEAR",4.47,0.6314,11.31,255.94,220.38,1.648,7.29,9.45,7096,0,365,,,,,,,,,,,,,
"  240P/NEAT",3.862,0.4502,23.54,74.91,352.00,2.123,5.60,7.59,3111,0,3071,,,,,,,,,,,,,
"  241P/LINEAR",4.954,0.6099,20.87,305.81,110.53,1.932,7.98,11,8217,0,874,,,,,,,,,,,,,
"  242P/Spahr",5.475,0.2776,32.49,180.59,246.46,3.955,6.99,12.8,10302,0,1332,,,,,,,,,,,,,
"  243P/NEAT",3.831,0.3592,7.64,87.67,283.78,2.455,5.21,7.5,8135,0,819,,,,,,,,,,,,,
"  244P/Scotti",4.892,0.1986,2.26,354.13,92.75,3.921,5.86,10.8,8580,0,1834,,,,,,,,,,,,,
"  245P/WISE",4.008,0.4661,21.09,318.53,316.40,2.139,5.88,8.02,5882,1,103,,,,,,,,,,,,,
"  246P/NEAT",4.028,0.2850,15.97,78.78,176.17,2.880,5.18,8.08,8371,0,4914,,,,,,,,,,,,,
"  247P/LINEAR",3.965,0.6256,13.68,54.12,47.34,1.484,6.45,7.9,5998,0,1346,,,,,,,,,,,,,
"  248P/Gibbs",5.987,0.6390,6.36,207.79,210.15,2.161,9.81,14.6,10708,0,301,,,,,,,,,,,,,
"  249P/LINEAR",2.77,0.8187,8.40,239.85,64.81,0.502,5.04,4.61,5205,0,884,,,,,,,,,,,,,
"  250P/Larson",3.733,0.4075,13.29,73.73,44.98,2.212,5.25,7.21,10654,0,530,,,,,,,,,,,,,
"  251P/LINEAR",3.492,0.5098,23.51,219.55,30.91,1.712,5.27,6.53,7447,0,431,,,,,,,,,,,,,
"  252P/LINEAR",3.047,0.6731,10.42,190.95,343.31,0.996,5.10,5.32,1972,3,122,,,,,,,,,,,,,
"  253P/PANSTARRS",3.469,0.4130,4.94,146.88,230.71,2.036,4.90,6.46,9639,0,936,,,,,,,,,,,,,
"  254P/McNaught",4.615,0.3203,32.57,129.17,219.47,3.137,6.09,9.92,16248,0,830,,,,,,,,,,,,,
"  255P/Levy",3.025,0.6720,18.33,279.78,179.59,0.992,5.06,5.26,5484,0,503,,,,,,,,,,,,,
"  256P/LINEAR",4.631,0.4194,27.63,81.44,124.12,2.689,6.57,9.97,7467,0,270,,,,,,,,,,,,,
"  257P/Catalina",3.754,0.4324,20.24,207.85,117.88,2.131,5.38,7.27,6073,0,2118,,,,,,,,,,,,,
"  258P/PANSTARRS",4.405,0.2104,6.75,126.29,26.01,3.478,5.33,9.24,7008,1,80,,,,,,,,,,,,,
"  259P/Garradd",2.727,0.3415,15.90,51.97,256.59,1.796,3.66,4.5,3306,0,68,,,,,,,,,,,,,
"  260P/McNaught",3.676,0.5943,15.77,351.86,15.58,1.491,5.86,7.05,5394,0,6700,,,,,,,,,,,,,
"  261P/Larson",3.532,0.4161,6.08,295.24,61.52,2.062,5.00,6.64,7491,0,1303,,,,,,,,,,,,,
"  262P/McNaught-Russell",6.935,0.8154,29.08,218.01,171.17,1.280,12.59,18.3,6706,0,1339,,,,,,,,,,,,,
"  263P/Gibbs",3.06,0.5878,11.54,105.81,34.57,1.261,4.86,5.35,6084,0,771,,,,,,,,,,,,,
"  264P/Larsen",3.893,0.3737,25.15,220.97,346.62,2.438,5.35,7.68,5541,1,112,,,,,,,,,,,,,
"  265P/LINEAR",4.253,0.6460,14.69,344.71,32.72,1.505,7.00,8.77,3252,0,539,,,,,,,,,,,,,
"  266P/Christensen",3.532,0.3396,3.43,5.00,98.01,2.332,4.73,6.64,2801,1,520,,,,,,,,,,,,,
"  267P/LONEOS",3.29,0.5934,5.37,245.25,96.86,1.338,5.24,5.97,4463,0,197,,,,,,,,,,,,,
"  268P/Bernardi",4.562,0.4698,16.10,127.63,0.32,2.419,6.71,9.75,7499,0,212,,,,,,,,,,,,,
"  269P/Jedicke",7.212,0.4347,6.61,248.99,223.92,4.077,10.35,19.4,8561,0,904,,,,,,,,,,,,,
"  270P/Gehrels",6.752,0.4676,2.86,225.68,211.48,3.595,9.91,17.5,6264,0,381,,,,,,,,,,,,,
"  271P/van Houten-Lemmon",6.974,0.3907,6.86,9.59,35.09,4.250,9.70,18.4,19841,1,96,,,,,,,,,,,,,
"  272P/NEAT",4.446,0.4565,18.19,111.52,26.20,2.416,6.48,9.37,7015,0,189,,,,,,,,,,,,,
"  273P/Pons-Gambart",32.83,0.9753,136.40,320.43,20.19,0.810,64.85,188,68223,3,1140,,,,,,,,,,,,,
"  274P/Tombaugh-Tenagra",4.364,0.4397,15.83,81.37,38.59,2.445,6.28,9.12,33732,0,915,,,,,,,,,,,,,
"  275P/Hermann",5.765,0.7139,21.57,349.27,173.14,1.649,9.88,13.8,5145,0,155,,,,,,,,,,,,,
"  276P/Vorobjov",5.326,0.2680,14.81,211.35,199.49,3.898,6.75,12.3,9149,0,1244,,,,,,,,,,,,,
"  277P/LINEAR",3.858,0.5038,16.75,276.35,152.18,1.914,5.80,7.58,5663,1,828,,,,,,,,,,,,,
"  278P/McNaught",3.7,0.4334,6.68,15.49,237.92,2.096,5.30,7.12,5591,0,519,,,,,,,,,,,,,
"  279P/La Sagra",3.575,0.3979,5.05,346.28,6.02,2.153,5.00,6.76,7845,0,290,,,,,,,,,,,,,
"  280P/Larsen",4.513,0.4177,11.78,131.49,104.86,2.628,6.40,9.59,6948,0,166,,,,,,,,,,,,,
"  281P/MOSS",4.856,0.1734,4.72,87.17,26.42,4.014,5.70,10.7,8130,1,101,,,,,,,,,,,,,
"  283P/Spacewatch",4.134,0.4857,14.46,161.25,22.00,2.126,6.14,8.41,6382,1,114,,,,,,,,,,,,,
"  284P/McNaught",3.673,0.3757,11.86,144.29,202.77,2.293,5.05,7.04,3931,0,1370,,,,,,,,,,,,,
"  285P/LINEAR",4.509,0.6179,25.02,185.48,178.40,1.723,7.30,9.58,7052,0,933,,,,,,,,,,,,,
"  286P/Christensen",4.115,0.4242,17.04,283.95,24.69,2.370,5.86,8.35,6389,0,470,,,,,,,,,,,,,
"  287P/Christensen",4.168,0.2710,16.32,139.05,188.87,3.038,5.30,8.51,4226,0,270,,,,,,,,,,,,,
"  289P/Blanpain",3.045,0.6851,5.90,68.92,9.85,0.959,5.13,5.31,4029,1,356,0,7,,,,,,,,,,,
"  290P/Jager",6.103,0.6470,19.07,303.49,180.92,2.154,10.05,15.1,6026,0,3751,,,,,,,,,,,,,
"  291P/NEAT",4.55,0.4305,5.96,241.04,176.03,2.591,6.51,9.71,7522,1,950,,,,,,,,,,,,,
"  292P/Li",6.135,0.5868,24.32,91.86,318.85,2.535,9.73,15.2,7152,0,498,,,,,,,,,,,,,
"  293P/Spacewatch",3.639,0.4197,9.06,78.44,41.15,2.112,5.17,6.94,5666,2,463,,,,,,,,,,,,,
"  294P/LINEAR",3.202,0.5955,18.22,312.90,235.32,1.295,5.11,5.73,6305,0,269,,,,,,,,,,,,,
"  295P/LINEAR",5.346,0.6149,21.10,7.69,73.26,2.059,8.63,12.4,8741,1,90,,,,,,,,,,,,,
"  296P/Garradd",3.503,0.4773,25.20,263.68,350.03,1.831,5.17,6.56,7293,0,333,,,,,,,,,,,,,
"  297P/Beshore",3.484,0.3086,10.26,98.29,131.82,2.409,4.56,6.5,4838,1,569,,,,,,,,,,,,,
"  298P/Christensen",3.49,0.4125,8.02,57.12,95.62,2.051,4.93,6.52,2608,2,145,,,,,,,,,,,,,
"  299P/Catalina-PANSTARRS",4.385,0.2816,10.48,271.63,323.90,3.150,5.62,9.18,14111,0,880,,,,,,,,,,,,,
"  300P/Catalina",2.699,0.6916,5.68,95.69,222.87,0.832,4.57,4.43,3356,0,148,,,,,,,,,,,,,
"  301P/LINEAR-NEAT",5.687,0.5874,10.62,355.78,189.40,2.346,9.03,13.6,4904,1,126,,,,,,,,,,,,,
"  302P/Lemmon-PANSTARRS",4.272,0.2301,6.03,121.73,208.53,3.289,5.26,8.83,6724,0,964,,,,,,,,,,,,,
"  303P/NEAT",5.073,0.5104,7.04,348.20,356.71,2.484,7.66,11.4,7957,1,251,,,,,,,,,,,,,
"  304P/Ory",3.244,0.5742,2.76,60.68,329.66,1.381,5.11,5.84,6712,0,1496,,,,,,,,,,,,,
"  305P/Skiff",4.646,0.6923,11.64,240.15,147.27,1.430,7.86,10,7435,0,1263,,,,,,,,,,,,,
"  306P/LINEAR",3.105,0.5985,8.37,341.49,0.69,1.247,4.96,5.47,8156,0,406,,,,,,,,,,,,,
"  307P/LINEAR",5.807,0.6747,4.42,158.12,222.11,1.889,9.72,14,5293,0,220,,,,,,,,,,,,,
"  308P/Lagerkvist-Carsenty",6.675,0.3622,4.84,63.14,333.65,4.257,9.09,17.2,6758,1,369,,,,,,,,,,,,,
